DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	064
DATA	2022-09-16T233000_smart3-00557.ghg	2022-09-17	00:00:00	260	0	18000	18000	-0.00947798	1	NaN	7.3659	1	NaN	1.34951	2	NaN	-0.841471	1	NaN	0.0306475	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.23118e-11	-2.81555e-12	NaN	NaN	18.8477	461.184	472.923	-0.2	0	1014.43	24.822	25.4538	0.4	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297	297.011	100918	1.17262	1019.43	0.0244689	0.00198596	0.01828	2505.65	2950.39	0.0155891	84.9262	444.735	294.284	-0.0193607	0.0818365	0.0135317	0.0851773	3.06515e-14	-2.7755e-15	0.0851773	0.724438	147.926	103.31	9.14102	NaN	0.0899041	0.033374	-8.68582	-0.245573	5.45819	-0.0685383	1	0.188485	1	1	2	NaN	NaN	NaN	-0.00883716	1.07251	7.0154	1.06169	0.34353	1.13323	-1.10007	1.13323	0.00780158	1.13323	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	801110099	899999999	899999999	89999	89999	89	89	0	14	0	10	9	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0153318	0.0483909	0.00302524	0.0470248	0.0266746	59.1954	NaN	NaN	0.00586867	-0.00110007	0.00780158	NaN	NaN	12.73	461.184	24.822	21.0585	97.8569	087
DATA	2022-09-17T000000_smart3-00557.ghg	2022-09-17	00:30:00	260.0208	0	18000	18000	-0.00202541	1	NaN	-0.258167	2	NaN	0.440531	1	NaN	-0.103508	1	NaN	0.0100016	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.41344e-11	-2.9273e-12	NaN	NaN	18.9821	464.044	475.988	0	1	1026.45	25.093	25.7389	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.611	296.71	100908	1.17358	1019.58	0.0244464	0.000648101	0.0184966	2532.77	2897.43	0.0157609	87.4146	364.652	294.459	-0.047745	0.0482496	0.00546101	0.0680987	-8.81974e-15	-2.85187e-15	0.0680987	0.382839	142.413	134.699	4.59964	NaN	0.0415432	0.0084676	24.4506	0.0872373	-0.586035	0.0051936	1	0.541194	1	1	1	2	6	NaN	-0.0019393	1.0444	-0.22345	1.04455	0.404148	1.14402	-0.0824698	1.14402	0.00917553	1.14402	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	801100099	899999999	899999999	89999	89999	89	89	5	14	2	4	11	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00904648	0.00684863	0.00104009	0.00958102	0.00337018	25.953	NaN	NaN	-0.000186745	-0.0000824698	0.00917553	NaN	NaN	12.73	464.044	25.093	21.2341	97.8288	254
DATA	2022-09-17T003000_smart3-00557.ghg	2022-09-17	01:00:00	260.0416	0	18000	18000	-0.000678466	1	NaN	0.519253	1	NaN	-0.0430635	2	NaN	0.00700119	2	NaN	-0.000977463	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.97653e-11	-1.06137e-12	NaN	NaN	19.0167	464.631	476.52	0	1	1021.17	24.9499	25.5883	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.319	296.473	100884	1.1743	1019.49	0.0244328	-0.0000633396	0.0184014	2517.72	2856.28	0.0156701	88.1469	338.558	294.362	-0.0376089	0.058978	0.00227077	0.0699856	-7.01807e-15	-1.03937e-15	0.0699856	0.313664	156.409	122.525	1.85936	NaN	0.0240367	0.004785	-2.35422	-0.906034	-12.0578	-0.0180444	1	1.69626	1	1	2	3	6	13	-0.000626222	1.08343	0.483534	1.06927	-0.0943342	1.14281	-0.0178204	1.14281	-0.00214122	1.14281	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	1	0	3	6	7	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00400042	0.00481783	0.000751756	0.00585428	0.0039558	62.2413	NaN	NaN	0.000403892	-0.0000178204	-0.00214122	NaN	NaN	12.7116	464.63	24.9498	21.1367	97.8119	041
DATA	2022-09-17T010000_smart3-00557.ghg	2022-09-17	01:30:00	260.0624	0	18000	18000	-0.00288613	1	NaN	3.38069	1	NaN	-2.61091	1	NaN	-0.0776515	2	NaN	-0.0592538	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.53908e-12	4.04193e-13	NaN	NaN	19.3179	471.748	483.989	0	1	1035.69	25.2919	25.9482	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.361	296.314	100882	1.17475	1019.68	0.0244202	-0.00383965	0.0186632	2552.17	2829.06	0.015887	90.2127	276.889	294.584	-0.150186	0.0455502	0.000563859	0.156943	-5.77154e-15	3.90264e-16	0.156943	0.534711	108.339	163.128	0.205851	NaN	0.0495663	0.0104647	-3.17083	-0.672695	-1.29483	-0.0569389	1	2.11049	1	2	3	4	7	18	-0.00275808	1.04643	3.0949	1.04379	-2.68176	1.11103	-0.210333	1.11103	-0.0608617	1.11103	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	0	0	0	3	7	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00718517	0.0100282	0.00371598	0.0381964	0.0464379	152.353	NaN	NaN	0.00258367	-0.000210333	-0.0608617	NaN	NaN	12.69	471.747	25.2918	21.3577	97.779	220
DATA	2022-09-17T013000_smart3-00557.ghg	2022-09-17	02:00:00	260.0833	0	18000	18000	-0.000522203	1	NaN	-0.165818	2	NaN	-0.607261	2	NaN	0.201597	1	NaN	-0.0137817	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.06213e-11	-5.63651e-13	NaN	NaN	19.7827	483.123	495.835	0.3	0	1049.83	25.6384	26.3131	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.355	296.322	100880	1.17453	1019.88	0.0244214	-0.000893055	0.018918	2587.09	2830.44	0.0161068	91.4022	243.355	294.806	-0.178456	0.11592	0.00617306	0.21289	-5.98953e-16	-5.36896e-16	0.21289	0.489463	124.47	146.993	1.66161	NaN	0.0210856	0.00607841	4.97701	0.428571	0.27306	0.00656492	1	16.1008	7	15	33	65	151	751	-0.000504324	1.03545	-0.185136	1.06752	-0.448667	1.27061	0.171176	1.27061	-0.0101824	1.27061	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800111099	899999999	899999999	89999	89999	89	89	5	0	4	8	23	19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00708861	0.00432657	0.000741643	0.00926337	0.00967638	45.4162	NaN	NaN	-0.000154552	0.000171176	-0.0101824	NaN	NaN	12.6979	483.123	25.6384	21.5803	97.7417	081
DATA	2022-09-17T020000_smart3-00557.ghg	2022-09-17	02:30:00	260.1041	0	18000	18000	-0.00101998	1	NaN	0.805449	2	NaN	-1.08075	2	NaN	-0.265364	2	NaN	-0.024526	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.11395e-11	1.64591e-12	NaN	NaN	19.7224	481.541	494.118	0	1	1042.45	25.4523	26.1171	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.313	296.261	100881	1.17488	1019.78	0.024416	-0.00158928	0.0187849	2568.36	2820.01	0.0159888	91.0761	251.655	294.687	-0.10684	0.0539035	0.00814511	0.119944	-4.35895e-15	1.57889e-15	0.119944	0.516714	127.011	153.228	3.8938	NaN	0.0294645	0.0114864	-2.79569	-0.762961	-0.745271	-0.0228161	1	3.1566	2	3	4	7	11	26	-0.000965392	1.05654	0.7072	1.05069	-1.03391	1.11951	-0.26646	1.11951	-0.023463	1.11951	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	1	3	0	7	2	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0167558	0.00509578	0.00112116	0.0114398	0.0291305	133.462	NaN	NaN	0.00059026	-0.00026646	-0.023463	NaN	NaN	12.695	481.541	25.4523	21.461	97.7401	086
DATA	2022-09-17T023000_smart3-00557.ghg	2022-09-17	03:00:00	260.1249	0	18000	18000	0.000292093	1	NaN	-0.12144	0	NaN	-0.178702	2	NaN	0.636554	1	NaN	-0.00405478	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.65143e-12	4.08524e-13	NaN	NaN	19.5366	476.761	489.214	-0.1	0	1043.1	25.4552	26.1201	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.09	296.109	100881	1.17548	1019.78	0.0244035	-0.00026275	0.0187966	2568.64	2794.21	0.0159906	91.9271	225.573	294.689	-0.141125	0.074307	-0.00319815	0.159525	-4.62851e-15	3.91645e-16	0.159525	0.464357	121.988	152.232	-1.14874	NaN	0.0157635	0.00578315	2.8394	0.751215	0.679567	0.0064267	1	16.7808	7	16	34	67	153	749	0.000279085	1.04661	-0.119803	1.08948	-0.116905	1.35515	0.47609	1.35515	-0.00265261	1.35515	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	4	0	0	4	3	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00746301	0.00329388	0.000809398	0.00788519	0.011149	192.292	NaN	NaN	-0.0000999421	0.00047609	-0.00265261	NaN	NaN	12.66	476.761	25.455	21.4624	97.7261	055
DATA	2022-09-17T030000_smart3-00557.ghg	2022-09-17	03:30:00	260.1458	0	18000	18000	0.00108174	1	NaN	0.559838	1	NaN	0.436679	0	NaN	-0.133924	2	NaN	0.00990641	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.54144e-11	1.36641e-12	NaN	NaN	19.521	476.118	488.626	0	1	1049.55	25.5985	26.271	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.078	295.909	100869	1.17606	1019.85	0.0243901	0.000641935	0.0189128	2582.77	2760.59	0.0160815	93.5588	177.815	294.778	-0.22102	0.0522896	0.00330468	0.227145	-1.04846e-14	1.3019e-15	0.227145	0.783902	107.884	166.69	0.833614	NaN	0.0303282	0.0196225	-4.38608	-0.486312	1.28204	-0.0153903	1	9.10616	4	7	12	19	30	71	0.00104468	1.03547	0.564942	1.03641	0.319857	1.10212	-0.153733	1.10212	0.00725622	1.10212	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800100099	800100099	899999999	899999999	89999	89999	89	89	6	3	2	2	5	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0244232	0.012429	0.00239276	0.0186337	0.0250596	56.7189	NaN	NaN	0.000471016	-0.000153733	0.00725622	NaN	NaN	12.6784	476.118	25.5985	21.553	97.6878	106
DATA	2022-09-17T033000_smart3-00557.ghg	2022-09-17	04:00:00	260.1666	0	18000	18000	0.00105222	1	NaN	-0.452127	2	NaN	-1.18933	1	NaN	1.08103	1	NaN	-0.0269821	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.37497e-11	-2.37187e-12	NaN	NaN	19.3808	472.829	485.269	0	1	1050.72	25.6343	26.3087	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.174	295.954	100856	1.17572	1019.88	0.0243968	-0.00174844	0.018934	2586.06	2768.09	0.0161042	93.4241	182.026	294.799	-0.14733	0.0533055	0.00139491	0.156683	4.21121e-15	-2.25737e-15	0.156683	0.596278	111.995	160.109	0.510095	NaN	0.0299159	0.0144941	5.21206	0.409243	0.380153	0.012604	1	4.87552	2	5	9	18	40	177	0.0010158	1.03585	-0.483331	1.06547	-0.873558	1.25902	0.888376	1.25902	-0.0198182	1.25902	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800111099	899999999	899999999	89999	89999	89	89	0	0	0	2	2	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0189923	0.00768579	0.0023102	0.060213	0.0285486	36.8109	NaN	NaN	-0.000403081	0.000888376	-0.0198182	NaN	NaN	12.7	472.829	25.6343	21.5739	97.6724	068
